Connectors References,Description,Manufacturer_Part_Number,Qty,Pins MPN,Per Conn Pins Qty,Total Pins Qty,Wire(AWG),Wire Length(mm),Wire MPN,Wire Qty (mm)
J1,,171692-0206,1,768230345,6,6,10,100,,600
"J2, J3, J5, J8, J9",,GHR-02V-S,5,SSHL-002T-P0.2,2,10,28,80,,800
"J4, J10, J13, J28, J35, J36, J61",,GHR-06V-S,7,SSHL-002T-P0.2,6,42,28,80,,3360
"J6, J14, J65",,172256-3102,3,1722537023,2,6,18,100,,600
"J7, J45, J53-J58",,511630400,8,507528200,4,32,20,100,,3200
"J11, J17, J23, J27",,GHR-04V-S,4,SSHL-002T-P0.2,4,16,28,80,,1280
"J12, J15, J16, J19, J21, J22, J25, J26, J30, J31, J63",,GHR-03V-S,11,SSHL-002T-P0.2,3,33,28,80,,2640
"J18, J24",,GHR-10V-S,2,SSHL-002T-P0.2,10,20,28,80,,1600
J20,,GHR-05V-S,1,SSHL-002T-P0.2,5,5,28,80,,400
"J32, J33, J37-J40",,511630200,6,507528200,2,12,20,100,,1200
J41-J44,,511630300,4,507528200,3,12,20,100,,1200
J47-J52,,511630600,6,507528200,6,36,20,100,,3600
J62,,172672-2002,1,1718250100,2,2,11,100,,200
MOT1-MOT5,Motor Headers,PPPC081LFBN-RC,10,,,,,,,
"JMPRS1, JMPRS2",FANSEL Jumpers,QPC02SXGN-RC,2,,,,,,,
FANSEL1-FANSEL2,,861400062YO2LF,2,,,,,,,
FuseHolder1-FuseHolder3,In Line with +Vin  Pins of J1,01530002H,3,,,,10,50,,
Fuse,,0297015.WXNV,3,,,,,,,
HEATSINK1-HEATSINK7,For MOSFETs and Bucks,XSD57-067,7,,,,,,,
